filename,competitors_new,competitors_ciks_new,competitors_old,competitors_ciks_old
CIK1003022_10K_20100301.txt,,,"Adobe|Ambarella|Broadcom Corp.|Conexant Systems, Inc.|CoreLogic|Fujitsu|Global Graphics|M-Star|Marvell Semiconductor, Inc.|MediaTek Inc.|MtekVision Co.Ltd.|Novatech|ST Microelectronics|Sunplus Technology Co. Ltd.|Telechips Inc.|Texas Instruments, Inc.|Trident|nVidia",796343|1280263|1730168|1069353|36047|39341|-1|-1|-1|-1|-1|-1|-1|-1|873979|97476|1005128|-1
CIK1003022_10K_20110307.txt,,,"Adobe|Alps|Altobeam|Ambarella|Anadigics|Broadcom Corp.|Conexant Systems, Inc.|Entropic|Fujitsu|Global Graphics|Guoxin|HDIC|Konka|LG|Legend Silicon|M-Star|Marvell Semiconductor, Inc.|MaxScend|Maxlinear|MediaTek Inc.|Mediatek/MTK|Monotype, Inc.|MorningStar/Mstar|NXP Semiconductors|Novatech|NuTune|Panasonic|Renesas|SONY|ST Microelectronics|STMicroelectronics|Samsung Electro-Mechanics|Sanyo|Sharp|Silicon Labs|Sony|Sunplus Technology Co. Ltd.|Texas Instruments, Inc.|Toshiba|Trident|Xceive|Xuguang",796343|883168|-1|1280263|940332|1730168|1069353|1227930|39341|-1|-1|701645|-1|857471|-1|-1|-1|-1|1288469|-1|-1|1385292|-1|1413447|-1|-1|63271|-1|313838|-1|932787|-1|203097|800840|1038074|313838|-1|97476|98573|1005128|-1|-1
CIK1003214_10K_20030327.txt,APT|ATI|AV Science|Agilent|Analog Devices|Broadcom|Chaparral|Chrontel|Focus Enhancements|Genesis Microchip|Highpoint|Hitachi|Infortrend|Intel|LSI Logic|Marvell|Matrox|Matsushita|Mediamatics|Micronas Semiconductor|Mylex|National Semiconductor|Oplus|Philips|Pixelworks|Promise|QLogic|SIS|ST Microelectronics|ServerWorks|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|Trident|VIA|Vitesse|nVidia,1543739|929245|-1|1090872|6281|1730168|1346980|-1|884719|1161396|1725526|47710|-1|50863|-1|1058057|-1|-1|-1|-1|731619|70530|-1|205778|1040161|-1|918386|719113|-1|-1|-1|313838|97476|-1|-1|98573|1005128|1003929|880446|-1,APT|ATI|AV Science|Agilent|Analog Devices|Broadcom|Chaparral|Chrontel|Focus Enhancements|Genesis Microchip|Highpoint|Hitachi|Infortrend|Intel|LSI Logic|Marvell|Matrox|Matsushita|Mediamatics|Micronas Semiconductor|Mindspeed|Mylex|National Semiconductor|Oplus|PMC-Sierra|Philips Semiconductor|Pixelworks|Promise|QLogic|SIS|ST Microelectronics|Serverworks|Smart ASIC|Sony|TI|Texas Instruments|Thine|Thomson|Toshiba|Trident|VIA|Vitesse|nVidia,1543739|929245|-1|1090872|6281|1730168|1346980|-1|884719|1161396|1725526|47710|-1|50863|-1|1058057|-1|-1|-1|-1|1224370|731619|70530|-1|767920|-1|1040161|-1|918386|719113|-1|-1|-1|313838|98596|97476|-1|-1|98573|1005128|1003929|880446|-1
CIK1003214_10K_20040315.txt,ATI Technologies|AV Science|Agilent|Analog Devices|Broadcom|Chaparral|Chrontel|Connexant|Focus Enhancements|Genesis Microchip|Highpoint|Infortrend|Intel|MRT|Macronix|Mediamatics|Micronas Semiconductor|Mylex|National Semiconductor|Oplus|PMC Sierra|Philips Semiconductor|Pixelworks|Promise|SIS|ST Microelectronics|ServerWorks|Smart ASIC|Taiwan-based companies|Texas Instruments|Thine|Trident|VIA|Vitesse|nVidia,1065331|-1|1090872|6281|1730168|1346980|-1|-1|884719|1161396|1725526|-1|50863|1019072|1009680|-1|-1|731619|70530|-1|767920|-1|1040161|-1|719113|-1|-1|-1|-1|97476|-1|1005128|1003929|880446|-1,APT|ATI Technologies|AV Science|Agilent|Analog Devices|Broadcom|Chaparral|Chrontel|Connexant|Focus Enhancements|Genesis Microchip|Highpoint|Hitachi|Infortrend|Intel|LSI Logic|MRT|Macronix|Marvell|Matsushita|Mediamatics|Micronas Semiconductor|Mindspeed|Mylex|National Semiconductor|Oplus|PMC-Sierra|Philips Semiconductor|Pixelworks|Promise|QLogic|SIS|ST Microelectronics|Serverworks|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|Trident|Vitesse|nVidia,1543739|1065331|-1|1090872|6281|1730168|1346980|-1|-1|884719|1161396|1725526|47710|-1|50863|-1|1019072|1009680|1058057|-1|-1|-1|1224370|731619|70530|-1|767920|-1|1040161|-1|918386|719113|-1|-1|-1|313838|97476|-1|-1|98573|1005128|880446|-1
CIK1003214_10K_20050316.txt,ATI Technologies|Texas Instruments|Thine Electronics|nVidia,1065331|97476|-1|-1,APT|ATI Technologies|AV Science|Adaptec|Agilent Technologies|Analog Devices|Broadcom|Chrontel|Connexant|Focus Enhancements|Genesis Microchip|Highpoint|Hitachi|IQStor|Intel|LSI Logic|MRT|Macronix|Marvell Technology|Matsushita|Mediamatics|Micronas Semiconductor|Mindspeed Technologies|National Semiconductor|Oplus|PMC-Sierra|Philips Semiconductor|Pixelworks|Promise Technology|QLogic|SIS|ST Microelectronics|Serverworks|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine Electronics|Thomson|Toshiba|Trident|VIA Technologies|Vitesse|Xyratex|Zoran|nVidia,1543739|1065331|-1|-1|1090872|6281|1730168|-1|-1|884719|1161396|1725526|47710|-1|50863|-1|1019072|1009680|1058057|-1|-1|-1|1224370|70530|-1|767920|-1|1040161|-1|918386|719113|-1|-1|-1|-1|313838|97476|-1|-1|98573|1005128|-1|880446|1284823|1003022|-1
CIK1003214_10K_20060316.txt,APT|ATI Technologies|AV Science|Analog Devices|Atmel|Broadcom|Chrontel|Conexant|Explore Technologies|Focus Enhancements|Genesis Microchip|Intel|J-Micron|LSI Logic|MRT|Macronix|Media|National Semiconductor|Novatek|Philips Semiconductor|Pixelworks|Promise Technology|SIS|ST Microelectronics|Samsung Semiconductor|ServerWorks|Silicon Integrated Systems|Smart ASIC|Texas Instruments|Thine|Thine Electronics|VIA Technologies|Vitesse|nVidia,1543739|1065331|-1|6281|872448|1730168|-1|1069353|-1|884719|1161396|50863|-1|-1|1019072|1009680|1434111|70530|832334|-1|1040161|-1|719113|-1|-1|-1|-1|-1|97476|-1|-1|-1|880446|-1,ATI Technologies|AV Science|Agilent Technologies|Analog Devices|Broadcom|Chrontel|Conexant|Explore Technologies|Focus Enhancements|Genesis Microchip|Hitachi|J-Micron|LSI Logic|MRT|Macronix|Marvell Technology|Matsushita|Mediamatics|Micronas Semiconductor|Mindspeed Technologies|National Semiconductor|Oplus|PMC-Sierra|Philips Semiconductor|Pixelworks|Promise Technology|QLogic|SIS|ST Microelectronics|Serverworks|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thine Electronics|Thomson|Toshiba|VIA Technologies|Vitesse|nVidia,1065331|-1|1090872|6281|1730168|-1|1069353|-1|884719|1161396|47710|-1|-1|1019072|1009680|1058057|-1|-1|-1|1224370|70530|-1|767920|-1|1040161|-1|918386|719113|-1|-1|-1|-1|313838|97476|-1|-1|-1|98573|-1|880446|-1
CIK1003214_10K_20070301.txt,"A Technologies|APT|Analog Devices|Atmel|Genesis Microchip Corp.|Genesis Microchip, Inc.|Hitachi|Intel|J-Micron|LSI Logic|Matsushita|National Semiconductor|Philips|Promise Technology|ServerWorks|Silicon Integrated Systems|Sony|Texas Instruments|Thomson|Toshiba|VIA Technologies|Vitesse|nVidia",-1|1543739|6281|872448|1161396|1161396|47710|50863|-1|-1|-1|70530|205778|-1|-1|-1|313838|97476|-1|98573|-1|880446|-1,APT|ATI|AV Science|Analog Devices|Analogix Semiconductor|Atmel|Broadcom|Chrontel|Conexant|Focus Enhancements|Genesis|Hitachi|Intel|J-Micron|LSI Logic|MRT|Marvell Technology|Matsushita|Mediamatics|Micronas Semiconductor|Mstar|National Semiconductor|Oplus|Philips|Philips Semiconductor|Pixelworks|Promise Technology|SIS|ST Microelectronics|ServerWorks|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|Trident|VIA Technologies|Vitesse|nVidia,1543739|929245|-1|6281|-1|872448|1730168|-1|1069353|884719|1236736|47710|50863|-1|-1|1019072|1058057|-1|-1|-1|-1|70530|-1|205778|-1|1040161|-1|719113|-1|-1|-1|-1|313838|97476|-1|-1|98573|1005128|-1|880446|-1
CIK1003214_10K_20080227.txt,AMD|Analog Devices|Atmel|Broadcom|Chrontel|Conexant|Genesis|Hitachi|Intel|J-Micron|LSI Logic|MRT|Marvell Technology|Matsushita|National Semiconductor|Philips|Pixelworks|Promise Technology|SIS|ST Microelectronics|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|VIA Technologies|nVidia,2488|6281|872448|1730168|-1|1069353|1236736|47710|50863|-1|-1|1019072|1058057|-1|70530|205778|1040161|-1|719113|-1|-1|-1|313838|97476|-1|-1|98573|-1|-1,APT|Analog Devices|Analogix|Atmel|Broadcom|Chrontel|Conexant|Genesis|Hitachi|Intel|J-Micron|MRT|Marvell Technology|Matsushita|National Semiconductor|Philips|Pixelworks|Promise Technology|SIS|ST Microelectronics|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|VIA Technologies|nVidia,1543739|6281|-1|872448|1730168|-1|1069353|1236736|47710|50863|-1|1019072|1058057|-1|70530|205778|1040161|-1|719113|-1|-1|-1|313838|97476|-1|-1|98573|-1|-1
CIK1003214_10K_20090213.txt,AMD|Analog Devices|Analogix|Atmel|Broadcom|Chrontel|Conexant|Hitachi|Intel|J-Micron|MRT|Marvell Technology|Matsushita|Mstar|NXP|National Semiconductor|Pixelworks|Promise Technology|SIS|ST Micro|ST Microelectronics|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|VIA Technologies|nVidia,2488|6281|-1|872448|1730168|-1|1069353|47710|50863|-1|1019072|1058057|-1|-1|1413447|70530|1040161|-1|719113|-1|-1|-1|-1|313838|97476|-1|-1|98573|-1|-1,AMD|Analog Devices|Analogix|Apple|Atmel|Broadcom|Chrontel|Conexant|Dell|Hitachi|Intel|J-Micron|LSI Logic|MRT|Marvell Technology|Matsushita|Mstar|NXP|National Semiconductor|Pixelworks|Promise Technology|SIS|ST Micro|ST Microelectronics|Silicon Integrated Systems|Smart ASIC|Sony|Texas Instruments|Thine|Thomson|Toshiba|VIA Technologies|nVidia,2488|6281|-1|320193|872448|1730168|-1|1069353|1571996|47710|50863|-1|-1|1019072|1058057|-1|-1|1413447|70530|1040161|-1|719113|-1|-1|-1|-1|313838|97476|-1|-1|98573|-1|-1
CIK1003214_10K_20100216.txt,AMD|Analog Devices|Analogix|Apple|Atmel|Broadcom|Dell|Intel|J-Micron|LSI Logic|Marvell Technology|Mstar|NXP|National Semiconductor|Panasonic|Pixelworks|Promise Technology|SIS|ST|STMicroelectronics|Samsung|Silicon Integrated Systems|Sony|Texas Instruments|Toshiba|Trident|VIA Technologies|nVidia,2488|6281|-1|320193|872448|1730168|1571996|50863|-1|-1|1058057|-1|1413447|70530|63271|1040161|-1|719113|934596|932787|-1|-1|313838|97476|98573|1005128|-1|-1,AMD|Analog Devices|Analogix|Apple|Atmel|Broadcom|Dell|Intel|J-Micron|Marvell Technology|Mstar|NXP|National Semiconductor|Panasonic|Pixelworks|Promise Technology|SIS|ST|STMicroelectronics|Silicon Integrated Systems|Sony|Texas Instruments|Toshiba|Trident|VIA Technologies|nVidia,2488|6281|-1|320193|872448|1730168|1571996|50863|-1|1058057|-1|1413447|70530|63271|1040161|-1|719113|934596|932787|-1|313838|97476|98573|1005128|-1|-1
CIK1003214_10K_20110217.txt,ACARD|AMD|Analog Devices|Analogix Semiconductor|Atmel|Broadcom|Intel|J-Micron|Marvell|MediaTek|Mstar|NXP|National Semiconductor|Nvidia|Panasonic|Parade Technologies|Qualcomm|ST Ericsson|STM|Samsung|Silicon Integrated Systems|Sony|TI|Texas Instruments|Toshiba|Trident|VIA Technologies|Zoran,-1|2488|6281|-1|872448|1730168|50863|-1|1058057|-1|-1|1413447|70530|1045810|63271|-1|804328|-1|932787|-1|-1|313838|98596|97476|98573|1005128|-1|1003022,ACARD|AMD|Analog Devices|Analogix Semiconductor|Atmel|Broadcom|Intel|J-Micron|Marvell|MediaTek|Mstar|NXP|National Semiconductor|Nvidia|Panasonic|Parade Technologies|Qualcomm|ST Ericsson|STM|Silicon Integrated Systems|Sony|TI|Texas Instruments|Toshiba|Trident|VIA Technologies|Zoran,-1|2488|6281|-1|872448|1730168|50863|-1|1058057|-1|-1|1413447|70530|1045810|63271|-1|804328|-1|932787|-1|313838|98596|97476|98573|1005128|-1|1003022
CIK1003214_10K_20120301.txt,ACARD|AMD|Analog Devices|Atmel|Broadcom|Intel|J-Micron|Marvell|MediaTek|Mstar|Nvidia|Panasonic|STM|Samsung|Silicon Integrated Systems|Sony|Texas Instruments|Toshiba|Trident|VIA Technologies,-1|2488|6281|872448|1730168|50863|-1|1058057|-1|-1|1045810|63271|932787|-1|-1|313838|97476|98573|1005128|-1,AMD|Analog Devices|Analogix Semiconductor|Broadcom|Explore|Intel|Marvell|MediaTek|Mstar|NXP|Nvidia|Panasonic|Parade Technologies|Qualcomm|ST Ericsson|STM|Samsung|Silicon Integrated Systems|Sony|TI|Toshiba|Trident|VIA Technologies,2488|6281|-1|1730168|-1|50863|1058057|-1|-1|1413447|1045810|63271|-1|804328|-1|932787|-1|-1|313838|98596|98573|1005128|-1
CIK1003214_10K_20130226.txt,AMD|Analog Devices|Analogix Semiconductor|Broadcom|Explore|Intel|Marvell|MediaTek|Mstar|NVIDIA|Parade Technologies|Sigma,2488|6281|-1|1730168|-1|50863|1058057|-1|-1|1045810|-1|700712,Analog Devices|Analogix|Broadcom|Explore|Intel|Marvell|MediaTek|Mstar|NVIDIA|Parade|Qualcomm|ST Ericsson|Sigma|Texas Instruments|Wilocity,6281|-1|1730168|-1|50863|1058057|-1|-1|1045810|-1|804328|-1|700712|97476|-1
CIK1003214_10K_20140224.txt,Apple|Google,320193|-1,Advanced Semiconductor Engineering|Amkor Taiwan|Analog Devices|Analogix|Broadcom|Explore|Intel|Intel Corporation|MStar|Marvell|MediaTek|NVIDIA|Panasonic|Parade|Qualcomm|Sigma|Siliconware Precision Industries Co. Ltd.|TSMC|Texas Instrument,-1|-1|6281|-1|1730168|-1|50863|50863|-1|1058057|-1|1045810|63271|-1|804328|700712|-1|1046179|-1
CIK1003214_10K_20150225.txt,Analog Devices|Analogix Semiconductor|Apple|Broadcom|Explore|Google|Intel|MStar|Marvell|MediaTek|NVIDIA|Parade Technologies|Qualcomm|Sigma|Texas Instrument,6281|-1|320193|1730168|-1|-1|50863|-1|1058057|-1|1045810|-1|804328|700712|-1,Analog Devices|Analogix Semiconductor|Broadcom|Explore|Intel|MStar|Marvell|MediaTek|NVIDIA|Parade Technologies|Qualcomm|Sigma|Texas Instrument,6281|-1|1730168|-1|50863|-1|1058057|-1|1045810|-1|804328|700712|-1
CIK1005284_10K_20140228.txt,"BASF Corporation|Cambridge Display Technology, Ltd.|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|Sumitomo Chemical Company",1717557|1297968|31235|-1|310158|-1,"BASF Corporation|Cambridge Display Technology, Ltd.|Canon, Inc.|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|Mitsubishi Chemical Corporation|Semiconductor Energy Laboratories Co.|Sumitomo Chemical Company",1717557|1297968|16988|31235|-1|310158|-1|-1|-1
CIK1005284_10K_20150226.txt,"BASF Corporation|Cambridge Display Technology, Ltd.|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|Sumitomo Chemical Company",1717557|1297968|31235|-1|310158|-1,"BASF Corporation|Cambridge Display Technology, Ltd.|Canon, Inc.|Cheil Industries|Doosan Electronics|Dow Chemical|Duksan|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|Mitsubishi Chemical Corporation|NSSCC|SFC Co. Ltd.|Semiconductor Energy Laboratories Co.|Sumitomo Chemical Company",1717557|1297968|16988|-1|-1|-1|-1|31235|-1|310158|-1|-1|1011836|-1|-1
CIK1005284_10K_20160225.txt,"BASF Corporation|Cambridge Display Technology, Ltd.|Cheil Industries|Doosan Electronics|Dow Chemical|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|SFC Co. Ltd.|Sumitomo Chemical Company",1717557|1297968|-1|-1|-1|31235|-1|310158|1011836|-1,"BASF Corporation|Cambridge Display Technology, Ltd.|Canon, Inc.|Cheil Industries|Doosan Electronics|Dow Chemical|Duksan|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Merck KGaA|Mitsubishi Chemical Corporation|SFC Co. Ltd.|Semiconductor Energy Laboratories Co.|Sumitomo Chemical Company",1717557|1297968|16988|-1|-1|-1|-1|31235|-1|310158|-1|1011836|-1|-1
CIK1005284_10K_20170223.txt,"Cambridge Display Technology, Ltd.|Cynora Gmbh|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Kyulux Inc.|Merck KGaA|Sumitomo Chemical Company",1297968|-1|31235|-1|-1|310158|-1,"Adesis, Inc.|BASF|BASF SE|BASF Schweitz AG|Cambridge Display Technology, Ltd.|Cynora Gmbh|Doosan Electronics|Dow Chemical|Duksan|Eastman Kodak Company|Fujifilm|Idemitsu Kosan Co., Ltd.|Koninklijke Philips Electronics N.V.|Kyulux Inc.|LG Display Co., Ltd.|Merck KGaA|Merck Patent GmbH|Motorola|Osram GmbH|SFC Co. Ltd.|Samsung SDI Co. Ltd.|Semiconductor Energy Laboratory, Co., Ltd.|Siemens Aktiengesellschaft|Sumitomo Chemical Company|Tianma Micro-electronics Co. Ltd.",-1|1717557|1717557|-1|1297968|-1|-1|-1|-1|31235|800365|-1|-1|-1|1290109|310158|-1|68505|-1|1011836|-1|-1|-1|-1|-1
CIK1005284_10K_20180222.txt,"Cambridge Display Technology, Ltd.|Cynora Gmbh|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Kyulux Inc.|Merck KGaA|Sumitomo Chemical Company",1297968|-1|31235|-1|-1|310158|-1,"BASF|BASF Schweitz AG|BOE Technology Group Co., Ltd.|Cambridge Display Technology, Ltd.|Cynora Gmbh|Doosan Electronics|Dow Chemical|Duksan|Eastman Kodak Company|Fujifilm|Idemitsu Kosan Co., Ltd.|Koninklijke Philips Electronics N.V.|Kyulux Inc.|LG Display Co., Ltd.|Merck KGaA|Merck Patent GmbH|Motorola|NSCC|Osram GmbH|Samsung SDI Co., Ltd.|Siemens Aktiengesellschaft|Sumitomo Chemical Company|Tianma Micro-electronics Co. Ltd.",1717557|-1|-1|1297968|-1|-1|-1|-1|31235|800365|-1|-1|-1|1290109|310158|-1|68505|863210|-1|-1|-1|-1|-1
CIK1005284_10K_20190221.txt,"Cambridge Display Technology, Ltd.|Cynora Gmbh|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Kyulux Inc.|Merck KGaA|Sumitomo Chemical Company",1297968|-1|31235|-1|-1|310158|-1,"Adesis, Inc.|BASF SE|BOE Technology Group Co., Ltd.|Cambridge Display Technology, Ltd.|Cynora Gmbh|Doosan Electronics|Dow Chemical|Duksan|Eastman Kodak Company|Idemitsu Kosan Co., Ltd.|Kyulux Inc.|LG Display Co., Ltd.|Merck KGaA|Merck Patent GmbH|NSCC|Osram AG|Samsung SDI Co. Ltd.|Sumitomo|Sumitomo Chemical Company|Tianma Micro-electronics Co., Ltd.|Visionox Technology, Inc.",-1|1717557|-1|1297968|-1|-1|-1|-1|31235|-1|-1|1290109|310158|-1|863210|-1|-1|-1|-1|-1|-1
